workload,variant,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
light,No_Energy,20,0.92,1.1084700408372576,0.18858606413363802,72.6988844755754
light,No_Energy,21,0.86,1.4508218107610011,0.18267840748498534,71.09431053032486
light,No_Energy,22,0.87,1.1982846459707484,0.2015683891272731,67.88217856587875
light,No_Energy,23,0.85,1.3838389006056808,0.2041543591966744,84.95201720824403
light,No_Energy,24,0.81,1.4850140531059994,0.2279269061469936,71.53304368963501
light,No_Energy,25,0.83,1.1958542817117772,0.20417986362151663,66.20246628806423
light,No_Energy,26,0.85,1.3877359042918322,0.24570270868398542,72.419519068666
light,No_Energy,27,0.82,1.3457537094090533,0.2158988431740648,71.63400531572643
light,No_Energy,28,0.89,1.2642310924589741,0.20871057382455024,76.30715530298312
light,No_Energy,29,0.89,1.12922288252014,0.19872655276376527,68.13816776734136
light,No_Energy,30,0.82,1.3352048362857747,0.21510070455911762,67.82110717251823
moderate,AHDETS,1,0.86,1.0013015291976313,0.46411383017776237,62.53107541244533
moderate,AHDETS,2,0.92,0.8472582882110185,0.4446232417196151,67.01438499355531
moderate,AHDETS,3,0.83,0.9968440416471903,0.47024914597027023,62.61744252067919
moderate,AHDETS,4,0.89,0.988226721236954,0.5366282747795244,68.61592678953386
moderate,AHDETS,5,0.93,0.8408584565259578,0.47862320771646033,56.85095120650506
moderate,AHDETS,6,0.92,0.8494613522208948,0.46449731302707004,62.88921414683092
moderate,AHDETS,7,0.86,1.1940884205534428,0.4276203188042748,65.77376719501173
moderate,AHDETS,8,0.92,1.0161667462336093,0.507681808761062,67.75024171120175
moderate,AHDETS,9,0.86,0.8953689380109034,0.4778168699913322,58.299431783234496
moderate,AHDETS,10,0.88,0.9356026865197613,0.4500519438561847,56.65235966916677
moderate,AHDETS,11,0.94,0.8741897186863415,0.4485394666232462,57.84625145230605
moderate,AHDETS,12,0.95,0.8691149130521159,0.38673722050714593,57.49593840784391
moderate,AHDETS,13,0.95,0.800545049299064,0.4681972053746413,62.057091348704645
moderate,AHDETS,14,0.89,0.9399408119086056,0.4515489021422348,58.65229939613437
moderate,AHDETS,15,0.9,1.0140563744565616,0.4391002495898059,62.80688077889232
moderate,AHDETS,16,0.91,0.8203310906619561,0.397707679278817,59.62181375380848
moderate,AHDETS,17,0.93,0.8995026251160462,0.3871035719732715,62.7777464167343
moderate,AHDETS,18,0.89,0.8648625754184482,0.5496911891280305,61.56366787522444
moderate,AHDETS,19,0.91,1.0781137490155615,0.505476351764195,66.18472469143168
moderate,AHDETS,20,0.95,0.8171609943384227,0.3858834783325988,60.24575582856376
moderate,AHDETS,21,0.94,1.0445902804415714,0.4620008106435832,70.34286216728408
moderate,AHDETS,22,0.87,1.0001863946691867,0.4269923483956884,56.80723543148456
moderate,AHDETS,23,0.97,0.9045663297483826,0.4458951686090013,66.77117630053012
moderate,AHDETS,24,0.95,0.8456658401303548,0.5144963042688425,65.56508411723352
moderate,AHDETS,25,0.89,0.9764883166906206,0.4418703058879433,60.1815482910642
moderate,AHDETS,26,0.88,1.1342144898518176,0.5477555878332349,70.42492587617404
moderate,AHDETS,27,0.9,0.8926997824724304,0.5102947680543933,65.24519560883171
moderate,AHDETS,28,0.91,0.903812899681505,0.4324267297131627,58.99393100170079
moderate,AHDETS,29,0.88,0.9771312235692036,0.4500710433913515,65.0616702529257
moderate,AHDETS,30,0.85,1.1081352612973614,0.44079828709043506,63.32158911662464
moderate,No_Deadline,1,0.96,0.6698390412808745,0.482673068071877,64.30107585862592
moderate,No_Deadline,2,0.98,0.6599402305833073,0.4892717234067672,64.47020932821925
moderate,No_Deadline,3,0.98,0.6335505588328167,0.4808202107526505,61.62459289738082
moderate,No_Deadline,4,0.99,0.6929014063709092,0.5561800223507568,65.45194320433485
moderate,No_Deadline,5,0.97,0.5531725939187152,0.4759474718215256,54.200996003791005
moderate,No_Deadline,6,0.98,0.6461547847103088,0.46010040605075164,62.183307577375686
moderate,No_Deadline,7,0.97,0.6583433494532973,0.46991523507489763,65.42879282388921
moderate,No_Deadline,8,0.99,0.6875081567918448,0.5522875224401004,65.19249520633032
moderate,No_Deadline,9,0.99,0.5753086610792032,0.48104899478015595,57.09190884451361
moderate,No_Deadline,10,0.98,0.5859235164769515,0.4757129439342001,56.441198833356495
moderate,No_Deadline,11,0.96,0.6023114653512266,0.48283455545120774,57.065264296917576
moderate,No_Deadline,12,0.96,0.5538086030094884,0.3472040916479373,54.69778947299545
moderate,No_Deadline,13,0.99,0.604317690903099,0.4870951810197762,59.63916572093002
moderate,No_Deadline,14,0.96,0.5944171361607823,0.4448116351105519,57.434272870815036
moderate,No_Deadline,15,0.97,0.639009493253714,0.45540689863752215,63.0604709129739
moderate,No_Deadline,16,0.97,0.5847512568760125,0.4262620578798386,57.56946488420148
moderate,No_Deadline,17,0.97,0.6229440907478089,0.4058365013516536,61.45402977905958
moderate,No_Deadline,18,0.99,0.647093951168816,0.5272601973800215,62.50603317899841
moderate,No_Deadline,19,0.96,0.7139619618343696,0.5617594230664308,65.63633467927919
moderate,No_Deadline,20,0.98,0.5741061041709979,0.4015841786718098,56.95023490615901
moderate,No_Deadline,21,0.98,0.7292218677844053,0.4653894299404036,70.61551293635723
moderate,No_Deadline,22,0.95,0.589630188052301,0.40944342074041584,56.59907522701951
moderate,No_Deadline,23,0.98,0.6527550368658772,0.42653651721726193,64.66218747433012
