workload,algorithm,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
moderate,SJF,26,0.53,3.91138324751323,0.5261754522084784,77.19986809022572
moderate,SJF,27,0.52,3.8081240064223674,0.4979602840342074,75.65485331770229
moderate,SJF,28,0.45,4.426437770219945,0.4118715404677584,68.88865762726266
moderate,SJF,29,0.52,4.189830410274902,0.46967001829118477,75.93086202319668
moderate,SJF,30,0.52,4.121742905013068,0.4357619381220597,68.33118895942424
moderate,EDF,1,1.0,0.8465294872680476,0.5300052020791435,65.3568922660481
moderate,EDF,2,1.0,0.727793287584904,0.46368707138805004,62.13575875102444
moderate,EDF,3,1.0,0.6629558703714945,0.46864237207640214,59.333499140784696
moderate,EDF,4,1.0,0.8968750951920748,0.5915600152073375,69.34436277233233
moderate,EDF,5,1.0,0.6277775471359832,0.49184218953553094,53.19014105572295
moderate,EDF,6,1.0,0.7453254399859306,0.4429559677174735,59.59074689006218
moderate,EDF,7,1.0,0.6611461590030947,0.44410196026948134,60.431678412305814
moderate,EDF,8,1.0,0.8425416767204971,0.5390409654661845,64.1729371628535
moderate,EDF,9,1.0,0.7193342277438006,0.5021489749234636,60.15828859615867
moderate,EDF,10,1.0,0.6031274699617086,0.4515135005805886,53.79526546899881
moderate,EDF,11,1.0,0.7159841468381923,0.5273269730099798,59.93054747672312
moderate,EDF,12,1.0,0.5064891689188987,0.3456192435426101,48.86634827751561
moderate,EDF,13,1.0,0.6892843891166676,0.49776354011528795,60.22636688307331
moderate,EDF,14,1.0,0.7837756298551884,0.46801380601506565,60.57036476725263
moderate,EDF,15,1.0,0.6485025808782217,0.4226207242700352,58.349492775969495
moderate,EDF,16,1.0,0.5899641748184551,0.4037395209979708,53.40813369736618
moderate,EDF,17,1.0,0.5976277801916418,0.4134755482939642,56.86123298603931
moderate,EDF,18,1.0,0.8192294109843232,0.5787940246053074,63.755074777891565
moderate,EDF,19,1.0,1.0314956380012803,0.5744517493276331,69.43890145590424
moderate,EDF,20,1.0,0.6637458795174807,0.41158013705406865,58.08350381307878
moderate,EDF,21,1.0,0.8094054726916471,0.4912052051721335,70.34903253446551
moderate,EDF,22,1.0,0.6716780408901619,0.44624855121630763,57.78328366990121
moderate,EDF,23,1.0,0.6316945367575193,0.39319865903996337,59.297551477686156
moderate,EDF,24,1.0,0.7799760614602984,0.5681317414525853,66.87828816800383
moderate,EDF,25,1.0,0.6626877270186701,0.48525385530245213,58.95623576939394
moderate,EDF,26,1.0,0.9204520275861231,0.6546490328543095,72.51302985904469
moderate,EDF,27,1.0,0.7176512894053643,0.538163086560976,63.934376389607095
moderate,EDF,28,1.0,0.7019624530187804,0.4275911646296447,57.815683153257396
moderate,EDF,29,1.0,0.8468661147844019,0.5230098408176697,67.88346725713099
moderate,EDF,30,1.0,0.7174640218230607,0.4994182384431001,60.578320970173635
moderate,AHDETS,1,0.86,1.0013015291976313,0.46411383017776237,62.53107541244533
moderate,AHDETS,2,0.92,0.8472582882110185,0.4446232417196151,67.01438499355531
moderate,AHDETS,3,0.83,0.9968440416471903,0.47024914597027023,62.61744252067919
moderate,AHDETS,4,0.89,0.988226721236954,0.5366282747795244,68.61592678953386
moderate,AHDETS,5,0.93,0.8408584565259578,0.47862320771646033,56.85095120650506
moderate,AHDETS,6,0.92,0.8494613522208948,0.46449731302707004,62.88921414683092
moderate,AHDETS,7,0.86,1.1940884205534428,0.4276203188042748,65.77376719501173
moderate,AHDETS,8,0.92,1.0161667462336093,0.507681808761062,67.75024171120175
moderate,AHDETS,9,0.86,0.8953689380109034,0.4778168699913322,58.299431783234496
moderate,AHDETS,10,0.88,0.9356026865197613,0.4500519438561847,56.65235966916677
moderate,AHDETS,11,0.94,0.8741897186863415,0.4485394666232462,57.84625145230605
moderate,AHDETS,12,0.95,0.8691149130521159,0.38673722050714593,57.49593840784391
moderate,AHDETS,13,0.95,0.800545049299064,0.4681972053746413,62.057091348704645
moderate,AHDETS,14,0.89,0.9399408119086056,0.4515489021422348,58.65229939613437
moderate,AHDETS,15,0.9,1.0140563744565616,0.4391002495898059,62.80688077889232
moderate,AHDETS,16,0.91,0.8203310906619561,0.397707679278817,59.62181375380848
moderate,AHDETS,17,0.93,0.8995026251160462,0.3871035719732715,62.7777464167343
moderate,AHDETS,18,0.89,0.8648625754184482,0.5496911891280305,61.56366787522444
moderate,AHDETS,19,0.91,1.0781137490155615,0.505476351764195,66.18472469143168
moderate,AHDETS,20,0.95,0.8171609943384227,0.3858834783325988,60.24575582856376
moderate,AHDETS,21,0.94,1.0445902804415714,0.4620008106435832,70.34286216728408
moderate,AHDETS,22,0.87,1.0001863946691867,0.4269923483956884,56.80723543148456
moderate,AHDETS,23,0.97,0.9045663297483826,0.4458951686090013,66.77117630053012
moderate,AHDETS,24,0.95,0.8456658401303548,0.5144963042688425,65.56508411723352
moderate,AHDETS,25,0.89,0.9764883166906206,0.4418703058879433,60.1815482910642
moderate,AHDETS,26,0.88,1.1342144898518176,0.5477555878332349,70.42492587617404
moderate,AHDETS,27,0.9,0.8926997824724304,0.5102947680543933,65.24519560883171
moderate,AHDETS,28,0.91,0.903812899681505,0.4324267297131627,58.99393100170079
moderate,AHDETS,29,0.88,0.9771312235692036,0.4500710433913515,65.0616702529257
moderate,AHDETS,30,0.85,1.1081352612973614,0.44079828709043506,63.32158911662464
heavy,FCFS,1,0.89,0.9042304260030121,0.7398709912099253,55.812796688269074
heavy,FCFS,2,0.9,0.8897393891227782,0.7345598224394305,56.41049414082582
heavy,FCFS,3,0.97,0.719796297612837,0.6992314806592288,52.8755311776457
heavy,FCFS,4,0.8,1.139217077309185,0.7673131604540121,59.36919100482086
heavy,FCFS,5,0.92,0.7510203242622976,0.7343568779345555,47.93172733300244
heavy,FCFS,6,0.89,0.8695962401556158,0.7116971339497346,53.95321016158455
heavy,FCFS,7,0.98,0.7990762766319984,0.6634988223123287,54.891513150158076
heavy,FCFS,8,0.92,1.0099819347277978,0.7529281274913834,58.0559666726636
heavy,FCFS,9,0.97,0.6870215306291122,0.6689698504901084,48.42334404252965
heavy,FCFS,10,1.0,0.6374297747820367,0.686653967847785,47.70084883024289
heavy,FCFS,11,0.97,0.7624630896048289,0.7049458189283903,48.7847813634061
heavy,FCFS,12,1.0,0.5028240798198716,0.5060990231967856,41.31772229800288
heavy,FCFS,13,0.96,0.7504434130972687,0.686300775884541,50.842201808823205
heavy,FCFS,14,0.98,0.6914167617080763,0.6407706716352698,48.51906675027787
heavy,FCFS,15,0.97,0.7714824588156557,0.6462123452477138,51.94152629262226
heavy,FCFS,16,1.0,0.5882881092171409,0.61252240133849,46.021482853060135
heavy,FCFS,17,1.0,0.6242684056755753,0.5879182971669106,47.555916244183365
heavy,FCFS,18,0.9,0.946050689929723,0.795256679743252,56.34409433615643
heavy,FCFS,19,0.8,1.1680648195458376,0.8181243351964838,61.594446553745954
heavy,FCFS,20,1.0,0.557994928149679,0.5501961387733918,44.4729828895118
heavy,FCFS,21,1.0,0.7821331350391091,0.6425259568287609,56.93381768023703
heavy,FCFS,22,0.97,0.6080889761445283,0.6460585878939799,45.89968660366745
heavy,FCFS,23,1.0,0.647483260298623,0.5828312399822605,50.5665615374505
heavy,FCFS,24,0.91,0.9775785222324024,0.7807895352588523,57.56273684163067
heavy,FCFS,25,0.94,0.770597828805977,0.661828964002559,49.17300007935364
heavy,FCFS,26,0.8,1.3029744962243774,0.8063626328416696,62.51914825242186
