workload,variant,metric,runs,mean,std,ci_lower,ci_upper
heavy,No_Execution,average_response_time,30,1.2360025599159807,0.16096523358605777,1.1784018908353218,1.2936032289966397
heavy,No_Execution,system_utilization,30,0.6797560943645263,0.07271991623815037,0.6537336065422258,0.7057785821868269
heavy,No_Execution,total_energy_consumed,30,62.730530337645554,3.7378869922808056,61.392944655901694,64.06811601938941
heavy,No_Capacity,deadline_success_rate,30,0.6529999999999999,0.049281037830540594,0.6353650070963256,0.6706349929036742
heavy,No_Capacity,average_response_time,30,1.9489754257884326,0.15898464430103174,1.8920835014811006,2.0058673500957647
heavy,No_Capacity,system_utilization,30,0.5618826702391827,0.038973397446467,0.5479362190754739,0.5758291214028916
heavy,No_Capacity,total_energy_consumed,30,61.30878025206462,4.438868536518579,59.720351546260524,62.89720895786872
heavy,No_Energy,deadline_success_rate,30,0.7773333333333332,0.04298623142302688,0.7619509079731475,0.792715758693519
heavy,No_Energy,average_response_time,30,1.5142843930311458,0.16804157614138884,1.4541514872882568,1.5744172987740348
heavy,No_Energy,system_utilization,30,0.5741377147964498,0.04773610802064715,0.5570555679251141,0.5912198616677855
heavy,No_Energy,total_energy_consumed,30,60.8674250234701,3.953679776701838,59.452618885553726,62.28223116138647
